ParticipantCode,Term,Test,Instructor,LetterGrade,PercentGrade,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,CorrectAnswers,TestGrade
80,1.0,Pre,A,D,48.11,x,D,A,C,D,A,A,x,D,x,x,A,x,x,A,E,x,x,D,x,D,x,C,x,A,x,x,6,22.22
9,1.0,Pre,A,A,95.77,D,E,D,x,E,D,B,B,C,D,E,D,C,B,B,A,C,A,B,B,C,D,C,B,D,C,B,5,18.52
9,1.0,Post,A,A,95.77,E,x,D,D,C,A,C,C,E,x,E,A,A,B,E,A,B,B,C,B,C,B,C,x,D,x,E,9,33.33
54,1.0,Pre,A,B+,83.33,A,D,A,A,E,A,B,D,x,A,x,E,x,C,x,E,A,C,B,D,E,x,C,A,D,A,D,5,18.52
54,1.0,Post,A,B+,83.33,E,B,A,B,E,E,B,D,B,C,E,D,C,E,D,A,B,A,E,C,D,x,C,A,C,C,A,3,11.11
51,1.0,Pre,A,W,36.21,B,D,A,B,B,D,x,C,C,E,E,D,A,C,A,C,A,D,A,A,C,B,B,C,A,D,D,3,11.11
68,1.0,Pre,A,B-,74.4,D,B,D,B,B,E,x,C,x,A,B,D,C,B,x,D,C,B,D,B,C,D,C,B,C,D,B,6,22.22
68,1.0,Post,A,B-,74.4,E,E,D,E,B,B,C,D,D,E,E,B,C,C,D,D,A,D,D,A,D,A,C,B,C,D,D,6,22.22
71,1.0,Pre,A,A,93.61,C,x,x,x,B,A,x,C,x,D,A,E,C,B,C,D,C,D,D,B,C,D,B,D,D,x,B,6,22.22
71,1.0,Post,A,A,93.61,E,D,D,C,E,A,x,C,B,D,E,B,B,B,A,C,D,D,E,D,A,B,C,B,C,D,B,6,22.22
43,1.0,Pre,A,D,57.5,A,D,C,D,C,E,C,B,C,D,B,B,A,E,C,D,A,E,C,D,D,B,C,B,C,A,C,8,29.63
43,1.0,Post,A,D,57.5,A,E,E,D,E,A,D,E,E,B,E,A,D,B,A,D,C,A,C,B,B,D,C,D,B,B,C,10,37.04
56,1.0,Pre,A,W,23.14,B,C,A,D,E,C,D,C,B,D,E,D,E,B,A,E,B,D,E,A,E,C,B,A,D,B,A,3,11.11
10,1.0,Pre,A,C,69.36,A,x,x,B,D,E,x,D,x,D,A,B,B,A,C,A,D,C,x,A,E,C,x,B,E,C,B,2,7.41
10,1.0,Post,A,C,69.36,E,D,D,D,D,A,C,E,D,D,C,x,D,A,D,C,A,E,x,E,D,A,C,A,D,D,B,7,25.93
65,1.0,Pre,A,C,71.53,A,A,A,C,E,B,C,C,D,E,E,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0,0.0
65,1.0,Post,A,C,71.53,E,C,A,A,E,A,C,D,A,D,B,B,C,B,A,A,D,A,E,B,A,B,A,A,E,A,A,4,14.81
83,1.0,Pre,A,A,96.81,D,E,D,D,D,D,C,B,C,D,D,B,E,C,B,E,C,A,E,B,B,C,C,B,B,B,D,9,33.33
83,1.0,Post,A,A,96.81,E,D,D,C,B,E,B,B,C,D,B,B,A,D,A,B,A,C,E,C,C,C,B,A,B,A,A,8,29.63
20,1.0,Pre,A,W,0.0,E,B,D,C,D,B,C,C,A,E,B,D,A,C,C,D,D,E,C,A,D,C,D,C,D,C,C,6,22.22
46,1.0,Post,A,B-,75.55,C,C,D,E,B,A,D,C,B,C,D,A,D,A,A,C,B,B,D,B,D,B,B,C,x,x,x,9,33.33
46,1.0,Pre,A,B-,73.01,C,A,D,C,B,E,B,C,B,E,E,D,D,B,D,A,D,C,E,B,E,A,C,D,C,A,B,6,22.22
53,1.0,Pre,A,A,94.31,A,x,x,x,x,x,x,x,x,x,x,A,x,x,x,D,x,x,x,B,x,x,C,x,B,x,x,5,18.52
53,1.0,Post,A,A,94.31,E,x,E,E,B,A,A,C,D,x,E,A,C,A,D,D,C,B,A,B,E,C,C,A,B,x,D,12,44.44
78,1.0,Pre,A,C,66.93,D,E,C,B,C,C,D,D,B,C,C,D,B,D,C,C,D,C,E,C,C,D,B,D,C,C,C,3,11.11
78,1.0,Post,A,C,66.93,E,D,E,D,B,C,C,D,B,C,D,C,C,C,C,C,D,x,C,E,B,C,B,C,C,B,A,5,18.52
48,1.0,Pre,A,C+,73.95,B,D,B,B,B,B,B,C,C,D,B,E,C,B,D,C,B,D,A,D,C,B,A,D,D,B,D,4,14.81
48,1.0,Post,A,C+,73.95,C,D,B,A,B,A,B,C,C,D,C,E,D,A,D,C,A,D,C,C,B,B,E,C,A,D,B,4,14.81
72,1.0,Post,A,B-,73.66,E,x,D,E,E,A,D,E,E,x,B,A,B,B,E,D,C,C,C,D,D,C,C,x,B,x,A,13,48.15
26,1.0,Pre,A,W,0.0,A,B,D,E,B,A,D,E,E,E,B,D,C,C,B,D,C,A,A,D,C,D,A,C,B,E,A,7,25.93
2,1.0,Pre,A,F,8.45,A,D,B,C,E,A,B,E,A,B,C,x,C,C,D,E,D,B,E,B,B,C,D,x,E,B,C,6,22.22
23,1.0,Post,A,A,87.19,B,E,D,E,C,C,A,E,B,A,D,A,B,D,E,D,C,B,C,B,D,C,C,D,B,A,D,21,77.78
4,1.0,Pre,A,W,0.0,D,A,E,x,E,D,x,D,B,D,x,B,C,E,x,D,D,B,C,D,D,B,B,D,x,D,x,7,25.93
25,1.0,Post,A,B+,84.12,B,B,A,A,B,E,C,E,C,C,B,A,B,B,B,A,E,A,A,D,A,A,B,A,B,C,C,3,11.11
74,1.0,Pre,A,B-,74.82,A,E,B,E,C,C,B,C,B,D,D,A,D,A,B,B,E,C,D,A,D,C,E,C,B,A,D,10,37.04
74,1.0,Post,A,B-,74.82,A,C,D,B,D,B,D,A,A,C,A,A,C,C,B,D,E,B,E,D,B,B,B,D,D,C,D,6,22.22
79,1.0,Pre,A,D,30.07,C,C,E,x,D,B,A,E,D,D,A,A,C,A,C,B,A,E,E,B,A,C,C,x,C,E,C,7,25.93
67,1.0,Pre,A,C-,43.64,B,D,A,C,E,D,B,D,C,C,D,B,C,E,D,C,B,C,E,B,B,B,E,A,D,A,B,4,14.81
67,1.0,Post,A,C-,43.64,B,D,A,A,B,E,A,E,A,D,B,D,C,A,D,C,D,E,D,B,E,C,B,E,D,D,D,7,25.93
33,1.0,Pre,B,A,93.6,B,x,A,x,A,A,A,D,B,E,D,D,C,B,C,A,C,A,x,x,B,B,x,x,x,x,x,6,22.22
33,1.0,Post,B,A,93.6,D,x,B,B,A,A,B,C,C,E,B,B,C,B,A,B,C,A,C,B,B,B,C,C,D,A,B,7,25.93
60,1.0,Pre,B,C-,70.49,E,C,C,E,C,B,C,A,A,E,E,C,C,x,C,x,C,C,C,B,A,x,B,x,x,x,x,4,14.81
60,1.0,Post,B,C-,70.49,D,C,C,E,C,B,D,A,A,C,D,C,C,E,B,A,D,C,A,E,D,A,C,E,B,C,A,5,18.52
61,1.0,Pre,B,F,52.5,C,A,B,C,B,E,E,D,B,E,C,A,D,C,D,B,B,C,B,C,A,D,B,C,A,B,x,2,7.41
61,1.0,Post,B,F,52.5,B,C,B,E,B,D,B,A,C,E,A,B,C,C,C,A,C,C,B,D,B,C,A,C,B,D,B,4,14.81
77,1.0,Pre,B,F,50.84,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0,0.0
47,1.0,Pre,B,B-,81.63,x,D,x,x,x,x,x,x,x,D,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,2,7.41
47,1.0,Post,B,B-,81.63,D,D,B,x,D,B,x,C,x,B,D,x,A,C,x,x,x,x,x,D,x,x,A,x,C,B,A,3,11.11
17,1.0,Pre,B,A,102.25,B,x,D,E,B,x,C,E,B,A,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,4,14.81
17,1.0,Post,B,A,102.25,E,x,A,E,B,A,B,E,C,D,E,x,D,x,x,x,x,x,x,x,x,x,x,x,x,x,x,4,14.81
73,1.0,Pre,B,A-,91.63,x,x,x,x,C,A,x,C,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,1,3.7
73,1.0,Post,B,A-,91.63,A,B,A,D,B,A,x,C,D,D,B,D,C,B,E,A,C,A,x,x,C,B,C,D,C,B,A,6,22.22
28,1.0,Pre,B,A,94.05,x,B,A,B,B,A,B,C,D,C,C,C,C,D,x,E,D,B,C,B,A,E,E,E,x,B,A,5,18.52
28,1.0,Post,B,A,94.05,B,E,A,B,E,A,D,D,D,D,B,C,B,B,E,E,C,B,C,C,D,E,C,C,A,C,D,9,33.33
34,1.0,Pre,B,A-,89.6,E,E,x,x,C,D,x,x,x,x,A,E,x,x,x,C,x,x,x,x,x,x,x,x,x,x,x,0,0.0
34,1.0,Post,B,A-,89.6,E,E,B,D,A,A,A,E,D,C,B,E,C,D,C,B,B,C,E,A,A,A,B,D,D,C,A,6,22.22
3,1.0,Pre,B,F,28.76,x,x,D,x,x,x,x,x,x,E,E,A,x,x,x,x,x,x,x,B,E,x,x,x,B,x,D,5,18.52
3,1.0,Post,B,F,28.76,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0,0.0
81,1.0,Pre,B,A,93.88,A,D,C,B,D,D,D,D,B,D,A,C,B,C,C,C,C,C,E,E,C,C,C,A,C,C,B,6,22.22
81,1.0,Post,B,A,93.88,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0,0.0
55,1.0,Pre,B,B-,80.75,E,D,B,x,B,x,x,C,x,D,x,x,C,x,x,x,x,x,x,x,x,x,x,x,x,x,x,2,7.41
64,1.0,Pre,B,A,101.3,A,D,D,E,C,D,D,B,D,D,B,A,C,B,E,D,C,B,C,C,D,x,C,C,B,A,A,14,51.85
64,1.0,Post,B,A,101.3,E,D,D,E,C,A,B,E,B,C,D,x,D,D,A,D,B,B,C,E,x,x,x,x,x,x,x,11,40.74
39,1.0,Post,B,B,84.71,E,D,A,A,D,A,x,B,C,D,A,A,B,C,x,C,C,A,A,C,B,B,B,B,B,B,A,6,22.22
39,1.0,Pre,B,B,84.71,D,D,D,x,C,A,x,B,x,x,E,x,x,B,x,C,x,x,A,x,A,x,C,x,C,x,x,4,14.81
19,1.0,Pre,B,A,96.09,x,A,x,x,B,x,x,C,x,C,E,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0,0.0
19,1.0,Post,B,A,96.09,D,D,B,D,B,B,x,x,x,x,A,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,1,3.7
24,1.0,Pre,B,C+,77.42,x,A,D,x,E,D,x,E,x,E,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,2,7.41
24,1.0,Post,B,C+,77.42,A,E,A,C,D,B,B,D,B,E,E,E,C,D,A,B,B,A,A,B,A,D,B,A,D,B,B,3,11.11
44,1.0,Pre,B,C-,71.46,x,x,x,x,B,D,x,B,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0,0.0
44,1.0,Post,B,C-,71.46,A,x,x,x,E,x,x,B,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0,0.0
30,1.0,Pre,B,A,97.97,x,B,D,B,D,A,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,A,x,x,2,7.41
30,1.0,Post,B,A,97.97,A,x,A,x,B,A,x,x,B,x,E,x,A,x,x,B,x,x,x,C,x,x,x,x,x,A,A,4,14.81
21,1.0,Pre,B,B,84.59,x,x,A,x,B,x,x,E,x,A,x,A,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,2,7.41
21,1.0,Post,B,B,84.59,A,A,D,B,E,B,C,E,D,B,E,E,C,B,C,B,x,A,A,C,A,A,C,B,D,D,A,3,11.11
35,1.0,Post,B,A,103.24,E,C,D,E,A,A,A,B,B,D,D,x,C,D,x,B,D,x,x,x,x,x,C,E,x,x,x,10,37.04
35,1.0,Pre,B,A,103.24,E,D,D,C,A,A,A,E,C,D,D,A,A,D,x,x,x,x,C,B,x,x,x,x,x,x,x,13,48.15
8,1.0,Pre,B,B-,80.19,x,B,x,x,E,x,x,D,x,x,x,x,x,x,x,x,x,x,x,x,x,x,B,x,x,x,x,0,0.0
8,1.0,Post,B,B-,80.19,D,A,A,C,C,A,C,E,C,C,D,B,x,A,x,C,C,C,x,C,x,E,C,x,C,C,C,5,18.52
63,1.0,Post,B,A,99.34,E,A,D,D,C,E,B,E,D,D,B,C,B,D,E,A,D,B,D,B,C,E,B,D,A,D,B,8,29.63
63,1.0,Pre,B,A,99.34,x,D,E,x,B,x,x,C,x,D,A,A,C,A,D,C,x,x,E,C,E,x,D,x,B,C,D,5,18.52
14,1.0,Pre,B,C,76.05,D,B,B,D,E,D,B,B,B,D,D,B,C,D,B,A,C,A,D,C,B,D,C,B,B,D,D,8,29.63
86,1.0,Post,B,C,76.05,x,E,A,B,D,x,E,C,A,C,E,E,D,A,A,D,E,D,E,B,D,B,A,C,D,E,B,3,11.11
6,2.0,Pre,B,A,99.38,x,x,x,x,x,x,x,E,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,1,3.7
31,2.0,Pre,B,A,94.57,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0,0.0
31,2.0,Post,B,A,94.57,x,C,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0,0.0
38,2.0,Pre,B,A,99.67,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0,0.0
38,2.0,Post,B,A,99.67,E,E,x,x,x,D,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0,0.0
22,2.0,Pre,B,D+,66.69,A,B,B,C,A,A,C,D,A,B,D,B,D,C,B,A,B,B,D,B,A,B,B,C,B,D,A,6,22.22
22,2.0,Post,B,D+,66.69,A,C,B,C,B,A,D,B,E,A,B,C,D,B,A,B,C,A,C,D,A,C,A,C,B,D,A,5,18.52
62,2.0,Post,B,B,82.66,C,x,B,C,B,A,x,E,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,2,7.41
57,2.0,Pre,B,A,106.0,A,A,D,A,E,A,B,A,E,D,E,A,E,x,x,B,x,x,x,C,x,x,C,x,D,x,A,5,18.52
57,2.0,Post,B,A,106.0,E,x,D,E,E,E,C,D,A,D,B,A,B,A,x,x,x,x,C,A,x,x,C,x,B,x,D,8,29.63
15,2.0,Pre,B,C,74.94,C,x,A,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0,0.0
15,2.0,Post,B,C,74.94,x,x,A,x,D,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,C,x,D,x,x,1,3.7
45,2.0,Pre,B,A,95.51,A,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0,0.0
45,2.0,Post,B,A,95.51,E,D,A,A,E,A,x,E,C,E,C,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,3,11.11
27,2.0,Pre,B,A,99.75,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0,0.0
27,2.0,Post,B,A,99.75,E,D,D,B,E,A,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,3,11.11
41,2.0,Pre,B,C,73.58,C,x,D,B,C,x,B,C,D,D,B,A,x,B,E,B,D,C,B,x,x,x,x,x,x,x,x,4,14.81
41,2.0,Post,B,C,73.58,x,x,A,B,C,A,C,B,D,D,B,A,D,x,E,x,x,x,x,x,x,x,x,x,x,x,x,4,14.81
52,2.0,Pre,B,A-,90.78,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0,0.0
52,2.0,Post,B,A-,90.78,E,x,x,D,x,x,x,x,E,x,x,E,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0,0.0
66,2.0,Pre,B,C,73.94,x,x,x,x,B,x,x,x,x,x,D,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,1,3.7
66,2.0,Post,B,C,73.94,A,D,D,x,E,A,B,C,D,E,B,C,B,A,D,B,A,E,B,C,E,D,B,E,C,A,E,4,14.81
18,2.0,Pre,B,A,101.81,x,B,A,x,x,x,x,x,x,x,E,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0,0.0
18,2.0,Post,B,A,101.81,B,D,x,x,B,A,x,E,E,C,x,A,x,x,x,C,x,x,x,x,x,x,x,x,x,x,x,4,14.81
32,2.0,Pre,B,C+,76.92,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0,0.0
32,2.0,Post,B,C+,76.92,D,C,A,x,B,E,C,B,x,D,D,C,B,E,A,B,D,B,D,x,x,x,x,x,x,x,x,3,11.11
13,2.0,Pre,B,A,98.63,B,x,x,x,C,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0,0.0
13,2.0,Post,B,A,98.63,D,C,A,x,D,D,B,A,B,A,B,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,1,3.7
29,2.0,Pre,B,A,99.83,A,D,A,A,E,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,1,3.7
36,2.0,Pre,B,A,97.53,x,x,x,x,x,x,x,C,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0,0.0
36,2.0,Post,B,A,97.53,A,E,A,x,A,B,x,B,D,x,D,C,D,D,B,C,A,D,C,A,D,C,B,E,B,E,A,7,25.93
12,2.0,Pre,B,A,99.26,E,D,x,x,B,A,x,C,x,C,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,2,7.41
12,2.0,Post,B,A,99.26,C,D,D,E,B,B,C,A,E,D,E,D,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,4,14.81
1,2.0,Pre,B,A,97.72,B,C,A,C,B,C,B,C,C,D,C,C,x,D,C,x,C,A,B,E,B,B,B,C,A,A,B,4,14.81
1,2.0,Post,B,A,97.72,A,B,D,B,D,B,B,A,B,A,B,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,2,7.41
11,2.0,Pre,B,A,98.52,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0,0.0
11,2.0,Post,B,A,98.52,x,D,D,x,C,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,2,7.41
40,2.0,Pre,B,A,93.31,x,x,x,x,E,x,x,B,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0,0.0
40,2.0,Post,B,A,93.31,E,D,D,E,E,A,A,C,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,5,18.52
7,2.0,Pre,B,A,95.33,E,x,x,x,x,B,x,D,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0,0.0
7,2.0,Post,B,A,95.33,A,x,A,A,E,B,A,x,x,D,B,A,x,x,x,x,x,x,x,C,x,D,C,x,D,x,x,4,14.81
59,2.0,Pre,B,D,60.14,A,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0,0.0
37,2.0,Pre,B,A,97.72,x,x,x,x,x,x,x,x,x,D,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,1,3.7
37,2.0,Post,B,A,97.72,A,D,D,D,C,A,x,x,x,x,x,A,x,x,x,B,x,x,x,x,x,x,x,x,B,x,x,5,18.52
42,2.0,Post,B,B+,87.81,D,x,A,x,D,A,x,C,x,C,B,x,x,A,x,B,x,x,E,C,x,B,C,A,x,x,A,2,7.41
42,2.0,Pre,B,B+,87.81,C,C,x,C,A,x,x,E,x,x,x,x,x,x,B,x,x,x,x,x,x,x,x,x,x,x,x,2,7.41
79,2.0,Pre,B,B+,86.68,D,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0,0.0
79,2.0,Post,B,B+,86.68,B,E,B,x,E,B,x,C,A,C,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0,0.0
